Symbol,Company Name,Market Cap,% Change,Volume,Revenue
HOPE,"Hope Bancorp, Inc.",1.35B,0.09%,1602,542.34M
BUSE,First Busey Corporation,1.32B,0.17%,2599,439.44M
NMFC,New Mountain Finance Corporation,1.31B,-0.08%,380883,374.84M
CASH,"Pathward Financial, Inc.",1.31B,0.37%,206,659.96M
NBHC,National Bank Holdings Corporation,1.31B,-0.40%,141621,417.57M
STEL,"Stellar Bancorp, Inc.",1.27B,-0.21%,93361,452.38M
WABC,Westamerica Bancorporation,1.27B,0.53%,101834,324.80M
SRCE,1st Source Corporation,1.26B,0.41%,687,363.40M
WT,"WisdomTree, Inc.",1.26B,0.12%,783221,349.04M
PWP,Perella Weinberg Partners,1.25B,1.05%,606569,648.65M
NRDS,"NerdWallet, Inc.",1.23B,-1.84%,345,599.40M
NIC,"Nicolet Bankshares, Inc.",1.23B,0.10%,15060,272.50M
STBA,"S&T Bancorp, Inc.",1.22B,0.38%,1,389.14M
TRUP,"Trupanion, Inc.",1.19B,5.06%,456621,1.11B
SAFT,"Safety Insurance Group, Inc.",1.17B,-0.97%,69612,930.96M
TCBK,TriCo Bancshares,1.16B,1.76%,89363,407.96M
ECPG,"Encore Capital Group, Inc.",1.15B,2.02%,76712,1.22B
LMND,"Lemonade, Inc.",1.15B,4.04%,1526263,429.80M
PFS,"Provident Financial Services, Inc.",1.14B,1.52%,473314,451.38M
EIG,"Employers Holdings, Inc.",1.13B,-1.02%,71438,850.90M
CET,Central Securities Corp.,1.12B,0.84%,20236,57.37M
VBTX,"Veritex Holdings, Inc.",1.11B,-0.73%,370978,377.75M
CSWC,Capital Southwest Corporation,1.04B,0.95%,1874,168.90M
BLX,"Banco Latinoamericano de Comercio Exterior, S. A.",1.03B,1.15%,146486,166.67M
PFBC,Preferred Bank,1.02B,0.19%,54346,351.76M
BBDC,"Barings BDC, Inc.",1.02B,0.52%,514309,289.20M
CIFR,Cipher Mining Inc.,1.01B,-5.79%,169835,-
BCSF,"Bain Capital Specialty Finance, Inc.",1.01B,-0.64%,295710,297.79M
SASR,"Sandy Spring Bancorp, Inc.",1.01B,-0.58%,235423,439.19M
AMSF,"AMERISAFE, Inc.",1.00B,-0.87%,2200,306.85M
PEBO,Peoples Bancorp Inc.,999.49M,-1.09%,955,411.61M
SCRM,Screaming Eagle Acquisition Corp.,998.91M,0.19%,400793,-
PRAA,"PRA Group, Inc.",993.35M,2.51%,126523,802.55M
GABC,"German American Bancorp, Inc.",991.09M,-,1100,248.14M
CVII,Churchill Capital Corp VII,974.24M,0.09%,346397,-
HCI,"HCI Group, Inc.",966.12M,1.07%,95517,507.94M
RBCAA,"Republic Bancorp, Inc.",966.06M,-0.12%,7451,311.88M
OBK,"Origin Bancorp, Inc.",960.57M,0.52%,89393,341.14M
QCRH,"QCR Holdings, Inc.",960.22M,-0.24%,55031,337.15M
MFIC,MidCap Financial Investment Corporation,959.88M,0.75%,231111,276.52M
BHLB,"Berkshire Hills Bancorp, Inc.",956.68M,1.73%,163042,411.83M
SII,Sprott Inc.,953.05M,0.62%,72632,169.02M
BY,"Byline Bancorp, Inc.",935.06M,0.48%,58120,355.28M
OCFC,OceanFirst Financial Corp.,917.32M,0.39%,315364,385.68M
PX,"P10, Inc.",914.60M,2.81%,661467,237.01M
BRKL,"Brookline Bancorp, Inc.",881.83M,0.50%,1054,333.44M
LC,LendingClub Corporation,881.63M,0.25%,867026,864.62M
MTAL,Metals Acquisition Corp,876.64M,3.52%,28972,302.46M
BFC,Bank First Corporation,869.84M,0.56%,11718,186.91M
BSIG,BrightSphere Investment Group Inc.,868.08M,-0.26%,158109,426.60M
SBSI,"Southside Bancshares, Inc.",867.13M,-3.44%,1,241.71M
SLRC,SLR Investment Corp.,859.78M,2.14%,415005,229.31M
GHLD,Guild Holdings Company,855.36M,-2.03%,843,732.26M
BRDG,Bridge Investment Group Holdings Inc.,847.14M,-2.45%,231022,259.81M
LDI,"loanDepot, Inc.",845.38M,-,248527,915.05M
