Symbol,Company Name,Market Cap,% Change,Volume,Revenue
NYMT,"New York Mortgage Trust, Inc.",654.15M,1.70%,5088,198.87M
HOUS,Anywhere Real Estate Inc.,627.58M,1.41%,943908,5.64B
GMRE,Global Medical REIT Inc.,625.29M,-1.34%,309723,141.05M
REAX,The Real Brokerage Inc.,623.57M,20.77%,4684,689.16M
WSR,Whitestone REIT,606.16M,-0.25%,473526,144.36M
TRTX,"TPG RE Finance Trust, Inc.",576.23M,1.93%,1104269,116.39M
FRPH,"FRP Holdings, Inc.",573.89M,1.14%,5897,41.25M
FPI,Farmland Partners Inc.,541.27M,-0.36%,275033,57.47M
PGRU,PropertyGuru Limited,529.47M,0.62%,30635,113.74M
GOOD,Gladstone Commercial Corporation,527.97M,1.33%,12911,147.58M
UHT,Universal Health Realty Income Trust,527.53M,-1.24%,66167,95.58M
SRG,Seritage Growth Properties,527.02M,-0.11%,215378,34.56M
CLDT,Chatham Lodging Trust,504.92M,-0.99%,119149,311.11M
LAND,Gladstone Land Corporation,472.89M,-0.23%,135617,90.40M
LSEA,Landsea Homes Corporation,467.20M,4.76%,550,1.21B
FPH,"Five Point Holdings, LLC",461.26M,0.32%,39643,211.73M
OLP,"One Liberty Properties, Inc.",453.33M,2.06%,40357,90.65M
IVR,Invesco Mortgage Capital Inc.,440.99M,1.00%,557970,3.87M
ORC,"Orchid Island Capital, Inc.",439.16M,0.71%,549173,-20.70M
STRW,Strawberry Fields REIT LLC,411.81M,-0.50%,220,97.90M
ACRE,Ares Commercial Real Estate Corporation,404.36M,0.54%,566516,92.93M
RMR,The RMR Group Inc.,394.66M,0.34%,51367,973.25M
MLP,"Maui Land & Pineapple Company, Inc.",391.90M,0.55%,21485,9.05M
PSTL,"Postal Realty Trust, Inc.",389.08M,-0.36%,85175,63.71M
CTO,"CTO Realty Growth, Inc.",385.47M,0.65%,143600,109.12M
NLOP,Net Lease Office Properties,332.04M,-0.50%,185214,174.97M
TCI,"Transcontinental Realty Investors, Inc.",331.23M,0.52%,924,49.24M
NREF,"NexPoint Real Estate Finance, Inc.",322.80M,1.54%,34708,28.68M
ARL,"American Realty Investors, Inc.",320.46M,0.20%,370,49.76M
REFI,"Chicago Atlantic Real Estate Finance, Inc.",293.10M,-0.19%,71253,57.07M
BRT,BRT Apartments Corp.,288.24M,0.52%,26090,92.82M
FLJ,FLJ Group Limited,257.96M,3.52%,2985,-
ILPT,Industrial Logistics Properties Trust,256.13M,2.91%,76,437.34M
RMAX,"RE/MAX Holdings, Inc.",253.00M,-0.25%,181905,325.67M
NEN,New England Realty Associates LP,251.34M,4.00%,186,72.46M
AOMR,"Angel Oak Mortgage, Inc.",250.90M,1.09%,36553,17.01M
GPMT,Granite Point Mortgage Trust Inc.,240.76M,1.07%,134947,-19.81M
AFCG,"AFC Gamma, Inc.",237.51M,1.93%,327,64.18M
FSP,Franklin Street Properties Corp.,236.85M,-1.72%,464150,145.71M
PINE,"Alpine Income Property Trust, Inc.",234.80M,0.25%,20006,45.64M
OZ,"Belpointe PREP, LLC",218.43M,-2.35%,3417,2.16M
OPAD,Offerpad Solutions Inc.,206.00M,-1.44%,22934,1.31B
CLPR,Clipper Realty Inc.,204.91M,-0.41%,14716,136.35M
ONL,Orion Office REIT Inc.,196.36M,1.73%,439073,195.04M
SEVN,Seven Hills Realty Trust,188.69M,1.59%,24566,34.51M
SDHC,Smith Douglas Homes Corp.,184.08M,-1.11%,55596,755.35M
MITT,"AG Mortgage Investment Trust, Inc.",177.51M,-0.82%,191824,68.44M
STRS,Stratus Properties Inc.,176.87M,1.76%,7270,26.30M
BHR,Braemar Hotels & Resorts Inc.,176.50M,-1.45%,345232,733.43M
CIO,"City Office REIT, Inc.",175.27M,0.23%,87902,179.10M
SACH,Sachem Capital Corp.,173.26M,-0.52%,143552,64.59M
DOUG,Douglas Elliman Inc.,162.93M,2.30%,339995,948.77M
STHO,Star Holdings,158.64M,0.08%,62948,123.05M
AXR,AMREP Corporation,118.60M,1.51%,4381,40.96M
LFT,"Lument Finance Trust, Inc.",117.42M,1.81%,35593,28.01M
EARN,Ellington Residential Mortgage REIT,115.14M,2.98%,479759,-634.00K
OPI,Office Properties Income Trust,114.09M,-4.27%,1498,533.55M
MDV,Modiv Inc.,110.56M,-3.56%,30762,46.94M
AJX,Great Ajax Corp.,109.29M,-,146995,-17.07M
CHMI,Cherry Hill Mortgage Investment Corporation,100.52M,0.82%,156494,-21.20M
ACR,ACRES Commercial Realty Corp.,90.98M,-1.58%,13726,91.93M
MAYS,"J.W. Mays, Inc.",88.69M,-1.85%,208,22.13M
CMCT,Creative Media & Community Trust Corporation,83.96M,1.78%,5570,115.66M
ASPS,Altisource Portfolio Solutions S.A.,76.31M,-1.71%,112720,145.07M
LRE,"Lead Real Estate Co., Ltd",73.39M,-2.17%,29067,118.00M
DOMA,Doma Holdings Inc.,71.89M,-1.47%,29683,335.84M
AHT,"Ashford Hospitality Trust, Inc.",62.04M,-2.56%,509177,1.37B
