Symbol,Company Name,Market Cap,% Change,Volume,Revenue
TSQ,"Townsquare Media, Inc.",178.07M,0.47%,22360,459.72M
TRVG,trivago N.V.,177.68M,-1.16%,133,538.92M
HAO,Haoxi Health Technology Limited,170.88M,-9.15%,47881,28.23M
LVO,"LiveOne, Inc.",170.48M,1.58%,7359,113.09M
CXDO,"Crexendo, Inc.",169.01M,8.25%,4663,53.20M
EVC,Entravision Communications Corporation,162.38M,-11.17%,4726450,1.08B
RDCM,RADCOM Ltd.,161.74M,-2.63%,94601,51.60M
SGA,"Saga Communications, Inc.",148.80M,1.08%,77,113.75M
SKLZ,Skillz Inc.,146.55M,-1.73%,94521,163.66M
TZOO,Travelzoo,130.08M,4.84%,130634,81.94M
FNGR,"FingerMotion, Inc.",121.91M,-3.33%,168578,40.40M
BRAG,Bragg Gaming Group Inc.,121.76M,-,8286,99.83M
HRYU,"Hanryu Holdings, Inc.",114.06M,-13.19%,15013,1.37M
UONE,"Urban One, Inc.",113.37M,0.82%,291,489.39M
GMGI,"Golden Matrix Group, Inc.",106.19M,1.75%,19628,44.17M
XNET,Xunlei Limited,97.23M,0.68%,61839,383.51M
WIMI,WiMi Hologram Cloud Inc.,90.18M,0.48%,10442,70.82M
SCOR,"comScore, Inc.",79.98M,-5.88%,95796,374.48M
MNY,MoneyHero Limited,78.61M,-2.94%,1736,123.27M
CMCM,Cheetah Mobile Inc.,73.98M,-1.61%,9408,126.84M
GAIA,"Gaia, Inc.",73.70M,-0.68%,7467,79.29M
INUV,"Inuvo, Inc.",70.93M,0.75%,846044,73.91M
BHAT,Blue Hat Interactive Entertainment Technology,70.66M,-1.72%,47514,51.69M
KORE,"KORE Group Holdings, Inc.",68.38M,-4.06%,53063,266.66M
KUKE,Kuke Music Holding Limited,67.17M,-0.49%,17423,-
RDI,"Reading International, Inc.",64.33M,-1.09%,22047,224.63M
LEE,"Lee Enterprises, Incorporated",62.05M,9.01%,137295,661.68M
MATH,Metalpha Technology Holding Limited,61.71M,-7.67%,90,5.69M
MCHX,"Marchex, Inc.",60.21M,-0.72%,219777,49.81M
CMLS,Cumulus Media Inc.,58.52M,0.29%,1,844.55M
HHS,"Harte Hanks, Inc.",55.85M,0.52%,8657,196.78M
STCN,"Steel Connect, Inc.",55.78M,-1.77%,1271,179.07M
BODI,Beachbody Company Inc,55.60M,-,18086,556.27M
UCL,uCloudlink Group Inc.,55.47M,-,2803,27.28M
BZFD,"BuzzFeed, Inc.",53.95M,7.97%,13480,352.98M
ZDGE,"Zedge, Inc.",52.82M,-,44310,27.42M
AREN,"The Arena Group Holdings, Inc.",52.47M,-1.12%,23047,214.52M
FLNT,"Fluent, Inc.",45.09M,13.46%,204039,310.30M
TOON,Kartoon Studios Inc.,43.27M,-0.69%,90805,54.35M
LPTV,"Loop Media, Inc.",43.06M,-10.49%,84091,26.99M
ABLV,Able View Inc.,42.85M,0.99%,6940,226.92M
SNAL,"Snail, Inc.",38.85M,-,31,47.64M
ICLK,iClick Interactive Asia Group Limited,38.32M,-0.51%,351,150.76M
PODC,PodcastOne Inc,38.05M,-0.25%,15,-
SJ,Scienjoy Holding Corporation,35.98M,5.04%,118111,216.01M
AGAE,Allied Gaming & Entertainment Inc.,33.73M,3.24%,56683,6.80M
MMV,MultiMetaVerse Holdings Limited,30.71M,10.54%,157937,9.79M
IZEA,"IZEA Worldwide, Inc.",30.14M,1.56%,255,36.12M
ANGH,Anghami Inc.,28.76M,9.46%,7070,46.25M
STBX,Starbox Group Holdings Ltd.,26.47M,-3.13%,75573,11.74M
CURI,CuriosityStream Inc.,25.74M,-1.34%,12,56.61M
NCTY,The9 Limited,25.73M,0.37%,132,-
BBGI,"Beasley Broadcast Group, Inc.",25.05M,-3.73%,25816,247.11M
BREA,Brera Holdings PLC,24.08M,91.18%,543762,120.79K
GAME,GameSquare Holdings Inc,23.90M,0.65%,2777,-
DLPN,"Dolphin Entertainment, Inc.",23.77M,-0.76%,9,42.24M
FENG,Phoenix New Media Limited,22.48M,1.08%,43397,96.85M
DALN,DallasNews Corporation,21.52M,-,12480,139.70M
HOFV,Hall of Fame Resort & Entertainment Company,21.36M,11.96%,45855,20.52M
SOGP,Sound Group Inc,18.00M,10.74%,159,307.65M
CNVS,Cineverse Corp.,17.59M,2.33%,80,51.82M
CHR,"Cheer Holding, Inc.",17.30M,0.79%,-,154.58M
TRUG,Trugolf Inc,17.10M,-,4971,13.79M
EDUC,Educational Development Corporation,14.91M,-2.52%,38,57.04M
KRKR,36Kr Holdings Inc.,14.82M,-2.68%,6041,45.86M
FAZE,FaZe Holdings Inc.,14.16M,-0.27%,397473,58.15M
GIGM,GigaMedia Limited,14.15M,-0.78%,2083,4.52M
MDIA,MediaCo Holding Inc.,13.44M,-2.11%,4484,24.95M
UPXI,"Upexi, Inc.",12.27M,2.13%,192531,91.21M
GDC,GD Culture Group Limited,11.59M,-1.00%,686,435.48K
LKCO,Luokung Technology Corp.,11.54M,-1.63%,195,36.98M
MIMO,Airspan Networks Holdings Inc.,10.45M,5.26%,286057,112.81M
VSME,VS Media Holdings Limited,9.48M,-7.09%,9056,9.03M
SLE,"Super League Enterprise, Inc.",8.47M,-7.83%,25,22.69M
LCFY,Locafy Limited,8.41M,9.83%,842,-
LDWY,"Lendway, Inc.",8.29M,0.69%,1630,23.57M
ASST,Asset Entities Inc.,8.14M,3.62%,311557,259.15K
CPOP,"Pop Culture Group Co., Ltd",7.12M,3.55%,1307,18.54M
CNET,ZW Data Action Technologies Inc.,6.84M,10.35%,601,29.74M
MSGM,Motorsport Games Inc.,6.26M,0.44%,202,8.93M
GXAI,Gaxos.ai Inc.,6.17M,10.43%,4852,-
ADD,"Color Star Technology Co., Ltd.",5.52M,-0.67%,117349,-
CSSE,"Chicken Soup for the Soul Entertainment, Inc.",5.48M,-9.91%,673,368.81M
MGOL,MGO Global Inc.,5.47M,-3.69%,1048,4.47M
BAOS,Baosheng Media Group Holdings Limited,5.40M,-2.72%,21,3.46M
ANTE,AirNet Technology Inc.,5.40M,10.74%,83802,918.00K
MGAM,Mobile Global Esports Inc.,4.66M,2.14%,54225,-
TC,TuanChe Limited,3.31M,8.11%,196310,25.71M
ONFO,"Onfolio Holdings, Inc.",2.50M,-2.58%,660,5.10M
GROM,"Grom Social Enterprises, Inc.",2.50M,64.96%,184183,4.70M
