Symbol,Company Name,Market Cap,% Change,Volume,Revenue
SEDG,"SolarEdge Technologies, Inc.",4.26B,6.96%,18512,2.98B
FIVN,"Five9, Inc.",4.25B,2.85%,6012,910.49M
BOX,"Box, Inc.",4.21B,0.47%,3958371,1.03B
PAGS,PagSeguro Digital Ltd.,4.21B,2.02%,1581796,3.27B
ASAN,"Asana, Inc.",4.17B,1.14%,1086100,631.60M
IPGP,IPG Photonics Corporation,4.12B,0.37%,187875,1.29B
BL,"BlackLine, Inc.",4.09B,0.55%,27797,590.00M
SYNA,Synaptics Incorporated,4.07B,4.41%,175241,1.03B
RELY,"Remitly Global, Inc.",3.90B,-0.77%,1163208,944.29M
AI,"C3.ai, Inc.",3.90B,-2.13%,6592994,296.40M
BLKB,"Blackbaud, Inc.",3.90B,1.07%,283934,1.11B
ACLS,"Axcelis Technologies, Inc.",3.87B,4.79%,1966,1.13B
CAMT,Camtek Ltd.,3.79B,4.15%,5326,315.38M
TDC,Teradata Corporation,3.78B,-1.06%,977673,1.83B
SATS,EchoStar Corporation,3.78B,2.65%,2657,17.02B
ALRM,"Alarm.com Holdings, Inc.",3.73B,1.35%,1810,881.68M
DXC,DXC Technology Company,3.73B,0.25%,2027889,13.87B
CXM,"Sprinklr, Inc.",3.71B,3.20%,1355344,703.48M
TSEM,Tower Semiconductor Ltd.,3.69B,1.35%,687,1.42B
CRDO,Credo Technology Group Holding Ltd,3.68B,3.30%,1421845,164.28M
BDC,Belden Inc.,3.67B,1.03%,262382,2.51B
WOLF,"Wolfspeed, Inc.",3.65B,4.76%,4780320,870.30M
SANM,Sanmina Corporation,3.62B,-1.31%,243915,8.45B
PYCR,"Paycor HCM, Inc.",3.61B,-1.27%,2871712,604.65M
FORM,"FormFactor, Inc.",3.58B,3.57%,3629,663.10M
CLSK,"CleanSpark, Inc.",3.53B,7.51%,967016,214.38M
DOCN,"DigitalOcean Holdings, Inc.",3.50B,-1.33%,1195225,692.88M
AUR,"Aurora Innovation, Inc.",3.50B,-0.44%,4472704,-
AYX,"Alteryx, Inc.",3.48B,0.08%,1357727,970.00M
ACIW,"ACI Worldwide, Inc.",3.43B,0.83%,3086,1.45B
RPD,"Rapid7, Inc.",3.40B,0.28%,780794,777.71M
PWSC,"PowerSchool Holdings, Inc.",3.39B,1.33%,321667,697.65M
