Symbol,Company Name,Market Cap,% Change,Volume,Revenue
SRCL,"Stericycle, Inc.",4.90B,-0.57%,408778,2.66B
AL,Air Lease Corporation,4.87B,1.06%,1392875,2.68B
MOG.A,Moog Inc.,4.84B,-0.08%,80449,3.42B
MOG.B,Moog Inc.,4.82B,-0.91%,-,3.42B
FELE,"Franklin Electric Co., Inc.",4.71B,0.33%,211,2.07B
ALK,"Alaska Air Group, Inc.",4.70B,0.87%,2557645,10.43B
GATX,GATX Corporation,4.70B,1.34%,104303,1.41B
HRI,Herc Holdings Inc.,4.53B,-2.05%,221385,3.28B
MDU,"MDU Resources Group, Inc.",4.51B,0.96%,944349,4.66B
VMI,"Valmont Industries, Inc.",4.29B,2.00%,87646,4.17B
CPA,"Copa Holdings, S.A.",4.21B,1.74%,200689,2.97B
ACA,"Arcosa, Inc.",4.16B,2.61%,167187,2.31B
EXPO,"Exponent, Inc.",4.09B,-0.07%,3536,536.77M
SNDR,"Schneider National, Inc.",4.07B,2.55%,741844,5.50B
SPR,"Spirit AeroSystems Holdings, Inc.",4.06B,2.12%,3080668,6.05B
GTES,Gates Industrial Corporation plc,4.02B,0.59%,3559761,3.57B
CAR,"Avis Budget Group, Inc.",3.95B,6.01%,6170,12.01B
ERJ,Embraer S.A.,3.93B,-1.16%,1395931,4.54B
DY,"Dycom Industries, Inc.",3.91B,2.54%,271029,4.18B
KAI,Kadant Inc.,3.89B,2.45%,84929,957.67M
TEX,Terex Corporation,3.83B,3.51%,613060,5.15B
AEIS,"Advanced Energy Industries, Inc.",3.82B,3.23%,188598,1.66B
CBZ,"CBIZ, Inc.",3.81B,1.22%,310907,1.59B
NSP,"Insperity, Inc.",3.78B,-0.97%,373369,6.49B
JOBY,"Joby Aviation, Inc.",3.76B,1.52%,3276360,1.23M
BCO,The Brink's Company,3.74B,0.06%,170973,4.87B
ATS,ATS Corporation,3.72B,1.44%,107982,2.21B
CAAP,Corporación América Airports S.A.,3.72B,-1.23%,80142,1.65B
VRRM,Verra Mobility Corporation,3.72B,2.85%,71,817.31M
CSWI,"CSW Industrials, Inc.",3.71B,1.44%,1310,777.67M
MATX,"Matson, Inc.",3.71B,0.23%,207945,3.09B
ENS,EnerSys,3.70B,0.84%,154473,3.66B
OMAB,"Grupo Aeroportuario del Centro Norte, SAB de CV",3.67B,-1.67%,64596,612.67M
MAN,ManpowerGroup Inc.,3.62B,1.97%,265374,18.91B
GMS,GMS Inc.,3.60B,1.03%,309482,5.39B
WIRE,Encore Wire Corporation,3.54B,1.40%,14,2.57B
GFF,Griffon Corporation,3.44B,0.36%,271923,2.68B
HI,"Hillenbrand, Inc.",3.44B,2.17%,116801,2.94B
CXT,"Crane NXT, Co.",3.43B,0.77%,221892,1.39B
ENOV,Enovis Corporation,3.41B,-1.26%,310033,1.71B
STRL,"Sterling Infrastructure, Inc.",3.41B,-0.45%,1893,1.97B
KFY,Korn Ferry,3.40B,0.25%,607117,2.84B
CRS,Carpenter Technology Corporation,3.38B,4.84%,344665,2.72B
REZI,"Resideo Technologies, Inc.",3.34B,2.95%,800274,6.24B
ARCB,ArcBest Corporation,3.25B,5.97%,598,4.43B
NPO,"EnPro Industries, Inc.",3.24B,1.42%,79311,1.06B
JBT,John Bean Technologies Corporation,3.22B,1.41%,211959,1.66B
WOR,"Worthington Industries, Inc.",3.19B,1.27%,203242,4.61B
UNF,UniFirst Corporation,3.15B,-0.68%,43258,2.28B
SEB,Seaboard Corporation,3.11B,-0.30%,3260,9.56B
HAYW,"Hayward Holdings, Inc.",3.05B,2.22%,1132486,992.45M
MGRC,McGrath RentCorp,3.01B,0.37%,116629,831.84M
ICFI,"ICF International, Inc.",2.89B,0.38%,66723,1.96B
DOOR,Masonite International Corporation,2.85B,-0.18%,589719,2.83B
KTOS,"Kratos Defense & Security Solutions, Inc.",2.78B,2.53%,7930,1.04B
BRC,Brady Corporation,2.77B,0.35%,272840,1.34B
SKYW,"SkyWest, Inc.",2.75B,0.90%,802,2.94B
ABM,ABM Industries Incorporated,2.74B,6.28%,870995,8.17B
GOGL,Golden Ocean Group Limited,2.71B,3.82%,38409,885.77M
MYRG,MYR Group Inc.,2.70B,-0.02%,106104,3.64B
HUBG,"Hub Group, Inc.",2.69B,0.67%,235101,4.20B
PLUG,Plug Power Inc.,2.67B,-2.99%,1995892,891.34M
ROAD,"Construction Partners, Inc.",2.64B,3.07%,242031,1.62B
LZ,"LegalZoom.com, Inc.",2.53B,1.90%,898697,660.73M
JBLU,JetBlue Airways Corporation,2.52B,2.49%,89736,9.62B
RXO,"RXO, Inc.",2.46B,2.51%,301914,3.93B
ALG,Alamo Group Inc.,2.46B,1.62%,62600,1.69B
MWA,"Mueller Water Products, Inc.",2.46B,2.21%,1014697,1.22B
WERN,"Werner Enterprises, Inc.",2.46B,3.25%,792557,3.28B
PGTI,"PGT Innovations, Inc.",2.39B,0.07%,807589,1.50B
GVA,Granite Construction Incorporated,2.33B,0.80%,333547,3.51B
FA,First Advantage Corporation,2.33B,-,4214,763.76M
IESC,"IES Holdings, Inc.",2.33B,1.89%,12,2.44B
ROCK,"Gibraltar Industries, Inc.",2.32B,1.05%,126617,1.38B
AIR,AAR Corp.,2.32B,0.92%,108283,2.17B
HTZ,"Hertz Global Holdings, Inc.",2.29B,3.16%,99744,9.37B
MIR,"Mirion Technologies, Inc.",2.26B,0.50%,949978,800.90M
PRIM,Primoris Services Corporation,2.22B,2.61%,475236,5.72B
RKLB,"Rocket Lab USA, Inc.",2.17B,3.02%,73253,244.59M
JBI,"Janus International Group, Inc.",2.15B,1.96%,1673760,1.07B
BE,Bloom Energy Corporation,2.15B,9.43%,7623244,1.33B
SXI,Standex International Corporation,2.13B,0.30%,136561,735.83M
TRN,"Trinity Industries, Inc.",2.12B,1.49%,280960,2.98B
HEES,"H&E Equipment Services, Inc.",2.12B,0.60%,3677,1.47B
TGH,Textainer Group Holdings Limited,2.07B,0.04%,264217,789.86M
SBLK,Star Bulk Carriers Corp.,2.07B,1.95%,11118,-
TNC,Tennant Company,2.05B,1.38%,123670,1.24B
HNI,HNI Corporation,2.02B,0.65%,243377,2.43B
KMT,Kennametal Inc.,2.01B,0.32%,432814,2.07B
ATMU,Atmus Filtration Technologies Inc.,2.01B,4.32%,8910413,1.63B
